enum	declarations	definitions	legacy_abi
StaticGameLODLevel	GeneralsMD/Code/GameEngine/Include/Common/Module.h;GeneralsMD/Code/GameEngine/Include/GameClient/Display.h	GeneralsMD/Code/GameEngine/Include/Common/GameLOD.h	int32-values-preserved
StealthLookType	GeneralsMD/Code/GameEngine/Include/GameLogic/Module/StealthUpdate.h	GeneralsMD/Code/GameEngine/Include/GameClient/Drawable.h	int32-values-preserved
TimeOfDay	GeneralsMD/Code/GameEngine/Include/Common/Module.h;GeneralsMD/Code/GameEngine/Include/GameClient/ControlBar.h;GeneralsMD/Code/GameEngine/Include/GameClient/ControlBarScheme.h	GeneralsMD/Code/GameEngine/Include/Common/GameType.h	int32-values-preserved
UpgradeStatusType	GeneralsMD/Code/GameEngine/Include/Common/Player.h	GeneralsMD/Code/GameEngine/Include/Common/Upgrade.h	int32-values-preserved
WeaponBonusConditionType	GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h	GeneralsMD/Code/GameEngine/Include/GameLogic/Weapon.h	int32-values-preserved
WeaponChoiceCriteria	GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h	GeneralsMD/Code/GameEngine/Include/GameLogic/WeaponSet.h	int32-values-preserved
WeaponLockType	GeneralsMD/Code/GameEngine/Include/GameLogic/AI.h	GeneralsMD/Code/GameEngine/Include/GameLogic/WeaponSet.h	int32-values-preserved
WeaponSetConditionType	GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h	GeneralsMD/Code/GameEngine/Include/GameLogic/WeaponSet.h	int32-values-preserved
WeaponSetType	GeneralsMD/Code/GameEngine/Include/GameLogic/AI.h;GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h	GeneralsMD/Code/GameEngine/Include/GameLogic/WeaponSetType.h	int32-values-preserved
WeaponSlotType	GeneralsMD/Code/GameEngine/Include/Common/ActionManager.h	GeneralsMD/Code/GameEngine/Include/Common/GameType.h	int32-values-preserved
WeaponStatus	GeneralsMD/Code/GameEngine/Include/GameLogic/Object.h	GeneralsMD/Code/GameEngine/Include/GameLogic/WeaponStatus.h	int32-values-preserved
_TerrainLOD	GeneralsMD/Code/GameEngine/Include/Common/GlobalData.h	GeneralsMD/Code/GameEngine/Include/GameClient/TerrainVisual.h	int32-values-preserved
